Mod:Item:MetaData, Localized Name
thermalfoundation:tool.shovel_invar, Invar Shovel
thermalfoundation:tool.pickaxe_invar, Invar Pickaxe
thermalfoundation:tool.axe_invar, Invar Axe
thermalfoundation:tool.hoe_invar, Invar Hoe
thermalfoundation:tool.bow_invar, Invar Reinforced Bow
thermalfoundation:tool.fishing_rod_invar, Invar Fishing Rod
thermalfoundation:tool.shears_invar, Invar Shears
thermalfoundation:tool.sickle_invar, Invar Sickle
thermalfoundation:tool.hammer_invar, Invar Hammer
thermalfoundation:tool.shield_invar, Invar Shield
thermalfoundation:tool.sword_bronze, Bronze Sword
thermalfoundation:tool.shovel_bronze, Bronze Shovel
thermalfoundation:tool.pickaxe_bronze, Bronze Pickaxe
thermalfoundation:tool.axe_bronze, Bronze Axe
thermalfoundation:tool.hoe_bronze, Bronze Hoe
thermalfoundation:tool.bow_bronze, Bronze Reinforced Bow
thermalfoundation:tool.fishing_rod_bronze, Bronze Fishing Rod
thermalfoundation:tool.shears_bronze, Bronze Shears
thermalfoundation:tool.sickle_bronze, Bronze Sickle
thermalfoundation:tool.hammer_bronze, Bronze Hammer
thermalfoundation:tool.shield_bronze, Bronze Shield
thermalfoundation:tool.sword_constantan, Constantan Sword
thermalfoundation:tool.shovel_constantan, Constantan Shovel
thermalfoundation:tool.pickaxe_constantan, Constantan Pickaxe
thermalfoundation:tool.axe_constantan, Constantan Axe
thermalfoundation:tool.hoe_constantan, Constantan Hoe
thermalfoundation:tool.bow_constantan, Constantan Reinforced Bow
thermalfoundation:tool.fishing_rod_constantan, Constantan Fishing Rod
thermalfoundation:tool.shears_constantan, Constantan Shears
thermalfoundation:tool.sickle_constantan, Constantan Sickle
thermalfoundation:tool.hammer_constantan, Constantan Hammer
thermalfoundation:tool.shield_constantan, Constantan Shield
thermalfoundation:tool.shears_wood, Wooden Shears
thermalfoundation:tool.sickle_wood, Wooden Sickle
thermalfoundation:tool.hammer_wood, Wooden Hammer
thermalfoundation:tool.bow_stone, Stone Reinforced Bow
thermalfoundation:tool.fishing_rod_stone, Stone Fishing Rod
thermalfoundation:tool.shears_stone, Stone Shears
thermalfoundation:tool.sickle_stone, Stone Sickle
thermalfoundation:tool.hammer_stone, Stone Hammer
thermalfoundation:tool.shield_stone, Stone Shield
thermalfoundation:tool.bow_iron, Iron Reinforced Bow
thermalfoundation:tool.fishing_rod_iron, Iron Fishing Rod
thermalfoundation:tool.sickle_iron, Iron Sickle
thermalfoundation:tool.hammer_iron, Iron Hammer
thermalfoundation:tool.shield_iron, Iron Shield
thermalfoundation:tool.bow_diamond, Diamond Reinforced Bow
thermalfoundation:tool.fishing_rod_diamond, Diamond Fishing Rod
thermalfoundation:tool.shears_diamond, Diamond Shears
thermalfoundation:tool.sickle_diamond, Diamond Sickle
thermalfoundation:tool.hammer_diamond, Diamond Hammer
thermalfoundation:tool.shield_diamond, Diamond Shield
thermalfoundation:tool.bow_gold, Gold Reinforced Bow
thermalfoundation:tool.fishing_rod_gold, Gold Fishing Rod
thermalfoundation:tool.shears_gold, Gold Shears
thermalfoundation:tool.sickle_gold, Gold Sickle
thermalfoundation:tool.hammer_gold, Gold Hammer
thermalfoundation:tool.shield_gold, Gold Shield
thermalfoundation:fluid_crude_oil, Crude Oil
thermalfoundation:fluid_redstone, Destabilized Redstone
thermalfoundation:fluid_glowstone, Energized Glowstone
thermalfoundation:fluid_ender, Resonant Ender
thermalfoundation:fluid_pyrotheum, Blazing Pyrotheum
thermalfoundation:fluid_cryotheum, Gelid Cryotheum
thermalfoundation:fluid_aerotheum, Zephyrean Aerotheum
thermalfoundation:fluid_petrotheum, Tectonic Petrotheum
thermalfoundation:fluid_mana, Primal Mana
draconicevolution:draconium_ore:0, Draconium Ore
draconicevolution:draconium_ore:1, Nether Draconium Ore
draconicevolution:draconium_ore:2, Ender Draconium Ore
draconicevolution:draconium_block:0, Draconium Block
draconicevolution:draconium_block:1, Charged Draconium Block
draconicevolution:draconic_block, Awakened Draconium Block
draconicevolution:infused_obsidian, Draconium Infused Obsidian
draconicevolution:portal, Portal
draconicevolution:item_dislocation_inhibitor, Dislocation Normalization Field Projector
draconicevolution:generator, Generator
draconicevolution:grinder, Mob Grinder
draconicevolution:particle_generator:0, Particle Generator
draconicevolution:particle_generator:2, Energy Core Stabilizer
draconicevolution:energy_infuser, Energy Infuser
draconicevolution:dislocator_receptacle, Dislocator Receptacle
draconicevolution:dislocator_pedestal, Dislocator Pedestal
draconicevolution:rain_sensor, Rain Sensor
draconicevolution:diss_enchanter, Disenchanter
draconicevolution:potentiometer, Potentiometer
draconicevolution:entity_detector:0, Entity Detector
draconicevolution:entity_detector:1, Advanced Entity Detector
draconicevolution:energy_storage_core, Energy Core
draconicevolution:energy_pylon, Energy Pylon
draconicevolution:invis_e_core_block, tile.draconicevolution:invis_e_core_block.name
draconicevolution:fusion_crafting_core, Fusion Crafting Core
draconicevolution:crafting_injector:0, Basic Fusion Crafting Injector
draconicevolution:crafting_injector:1, Wyvern Fusion Crafting Injector
draconicevolution:crafting_injector:2, Draconic Fusion Crafting Injector
draconicevolution:crafting_injector:3, Chaotic Fusion Crafting Injector
draconicevolution:celestial_manipulator, Celestial Manipulator
draconicevolution:energy_crystal:0, Basic Energy Relay Crystal
draconicevolution:energy_crystal:1, Wyvern Energy Relay Crystal
draconicevolution:energy_crystal:2, Draconic Energy Relay Crystal
draconicevolution:energy_crystal:3, Basic Energy I/O Crystal
draconicevolution:energy_crystal:4, Wyvern Energy I/O Crystal
draconicevolution:energy_crystal:5, Draconic Energy I/O Crystal
draconicevolution:energy_crystal:6, Basic Wireless Energy Crystal
draconicevolution:energy_crystal:7, Wyvern Wireless Energy Crystal
draconicevolution:energy_crystal:8, Draconic Wireless Energy Crystal
draconicevolution:flow_gate:0, Flux Gate
draconicevolution:flow_gate:8, Fluid Gate
draconicevolution:reactor_core, Draconic Reactor Core
draconicevolution:reactor_part:0, Reactor Stabilizer Frame
draconicevolution:reactor_part:1, Reactor Stabilizer Inner Rotor
draconicevolution:reactor_part:2, Reactor Stabilizer Outer Rotor
draconicevolution:reactor_part:3, Reactor Stabilizer Rotor Assembly
draconicevolution:reactor_part:4, Reactor Stabilizer Focus Ring
draconicevolution:reactor_component:0, Reactor Stabilizer
draconicevolution:reactor_component:1, Reactor Energy Injector
draconicevolution:draconic_spawner, Stabilized Mob Spawner
draconicevolution:draconium_chest, Draconium Chest
draconicevolution:chaos_crystal, Chaos Crystal
draconicevolution:chaos_shard_atmos, tile.draconicevolution:chaos_shard_atmos.name
draconicevolution:creative_rf_source, Creative RF Source
draconicevolution:placed_item, tile.draconicevolution:placed_item.name
draconicevolution:draconium_dust, Draconium Dust
draconicevolution:draconium_ingot, Draconium Ingot
draconicevolution:draconic_ingot, Awakened Draconium Ingot
draconicevolution:draconic_core, Draconic Core
draconicevolution:wyvern_core, Wyvern Core
draconicevolution:awakened_core, Awakened Core
draconicevolution:chaotic_core, Chaotic Core
draconicevolution:wyvern_energy_core, Wyvern Energy Core
draconicevolution:draconic_energy_core, Draconic Energy Core
draconicevolution:dragon_heart, Dragon Heart
draconicevolution:debugger, item.draconicevolution:debugger.name
draconicevolution:nugget:0, Draconium Nugget
draconicevolution:nugget:1, Awakened Draconium Nugget
draconicevolution:chaos_shard:0, Chaos Shard
draconicevolution:chaos_shard:1, Large Chaos Fragment
draconicevolution:chaos_shard:2, Small Chaos Fragment
draconicevolution:chaos_shard:3, Tiny Chaos Fragment
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:2, Creative Flux Capacitor
draconicevolution:wyvern_axe, Axe of the Wyvern
draconicevolution:wyvern_bow, Bow of the Wyvern
draconicevolution:wyvern_pick, Pickaxe of the Wyvern
draconicevolution:wyvern_shovel, Shovel of the Wyvern
draconicevolution:wyvern_sword, Sword of the Wyvern
draconicevolution:draconic_axe, Draconic Axe
draconicevolution:draconic_bow, Draconic Bow
draconicevolution:draconic_hoe, Draconic Hoe
draconicevolution:draconic_pick, Draconic Pickaxe
draconicevolution:draconic_shovel, Draconic Shovel
draconicevolution:draconic_staff_of_power, Draconic Staff of Power
draconicevolution:draconic_sword, Draconic Sword
draconicevolution:tool_upgrade:0, Upgrade Key (RF Capacity)
draconicevolution:tool_upgrade:1, Upgrade Key (Dig Speed)
draconicevolution:tool_upgrade:2, Upgrade Key (Dig AOE)
draconicevolution:tool_upgrade:3, Upgrade Key (Attack Damage)
draconicevolution:tool_upgrade:4, Upgrade Key (Attack AOE)
draconicevolution:tool_upgrade:5, Upgrade Key (Arrow Damage)
draconicevolution:tool_upgrade:6, Upgrade Key (Draw Speed)
draconicevolution:tool_upgrade:7, Upgrade Key (Arrow Speed)
draconicevolution:tool_upgrade:8, Upgrade Key (Shield Capacity)
draconicevolution:tool_upgrade:9, Upgrade Key (Shield Recovery)
draconicevolution:tool_upgrade:10, Upgrade Key (Movement Speed)
draconicevolution:tool_upgrade:11, Upgrade Key (Jump Boost)
draconicevolution:dislocator, Dislocator
draconicevolution:dislocator_advanced, Advanced Dislocator
draconicevolution:magnet:0, Item Dislocator
draconicevolution:magnet:1, Awakened Item Dislocator
draconicevolution:crystal_binder, Crystal Binder
draconicevolution:wyvern_helm, Wyvern Helm
draconicevolution:wyvern_chest, Wyvern Chestplate
draconicevolution:wyvern_legs, Wyvern Leggings
draconicevolution:wyvern_boots, Wyvern Boots
draconicevolution:draconic_helm, Draconic Helm
draconicevolution:draconic_chest, Draconic Chestplate
draconicevolution:draconic_legs, Draconic Leggings
draconicevolution:draconic_boots, Draconic Boots
draconicevolution:info_tablet, Draconic Evolution Information Tablet
draconicevolution:mob_soul, Soul
draconicevolution:creative_exchanger, Creative Block Exchanger
draconicevolution:ender_energy_manipulator, Ender Energy Manipulator
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
extracells:part.base:0, ME Fluid Export Bus
extracells:part.base:1, ME Fluid Import Bus
extracells:part.base:2, ME Fluid Storage Bus
extracells:part.base:3, ME Fluid Terminal
extracells:part.base:4, ME Fluid Level Emitter
extracells:part.base:5, ME Fluid Annihilation Plane
extracells:part.base:6, ME Fluid Formation Plane
extracells:part.base:7, ME Drive Fixture
extracells:part.base:8, ME Energy Cell Fixture
extracells:part.base:9, ME Fluid Interface
extracells:part.base:10, ME Fluid Storage Monitor
extracells:part.base:11, ME Fluid Conversion Monitor
extracells:part.base:12, ME Ore Dictionary Export Bus
extracells:storage.fluid:0, ME 1k Fluid Storage Cell
extracells:storage.fluid:1, ME 4k Fluid Storage Cell
extracells:storage.fluid:2, ME 16k Fluid Storage Cell
extracells:storage.fluid:3, ME 64k Fluid Storage Cell
extracells:storage.fluid:4, ME 256k Fluid Storage Cell
extracells:storage.fluid:5, ME 1024k Fluid Storage Cell
extracells:storage.fluid:6, ME 4096k Fluid Storage Cell
extracells:storage.physical:0, ME 256k Storage Cell
extracells:storage.physical:1, ME 1024k Storage Cell
extracells:storage.physical:2, ME 4096k Storage Cell
extracells:storage.physical:3, ME 16384k Storage Cell
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.gas:0, ME 1k Gas Storage Cell
extracells:storage.gas:1, ME 4k Gas Storage Cell
extracells:storage.gas:2, ME 16k Gas Storage Cell
extracells:storage.gas:3, ME 64k Gas Storage Cell
extracells:storage.gas:4, ME 256k Gas Storage Cell
extracells:storage.gas:5, ME 1024k Gas Storage Cell
extracells:storage.gas:6, ME 4096k Gas Storage Cell
extracells:pattern.fluid:0, ME Fluid Pattern
extracells:pattern.fluid:0, ME Fluid Pattern: Water
extracells:pattern.fluid:0, ME Fluid Pattern: Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Coralium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Antimatter
extracells:pattern.fluid:0, ME Fluid Pattern: Quicksand
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Spring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Slop
extracells:pattern.fluid:0, ME Fluid Pattern: Holstein Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Friesian Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Goat Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Sheep Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Liquifacted Coal
extracells:pattern.fluid:0, ME Fluid Pattern: Crude Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Naphtha
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Syrup
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Tree Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Mushroom Stew
extracells:pattern.fluid:0, ME Fluid Pattern: Essence of Knowledge
extracells:pattern.fluid:0, ME Fluid Pattern: Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Splash Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Lingering Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
extracells:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
extracells:pattern.fluid:0, ME Fluid Pattern: Blazing Pyrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Gelid Cryotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Zephyrean Aerotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Tectonic Petrotheum
extracells:pattern.fluid:0, ME Fluid Pattern: Primal Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: UU-Matter
extracells:pattern.fluid:0, ME Fluid Pattern: Construction Foam
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: IC2 Hot Coolant
extracells:pattern.fluid:0, ME Fluid Pattern: Pahoehoe Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Biogas
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Water
extracells:pattern.fluid:0, ME Fluid Pattern: Superheated Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Hotspring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Weed-Ex
extracells:pattern.fluid:0, ME Fluid Pattern: Air
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Ethanol
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Crushed Ice
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Short Mead
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Gold
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Copper
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Tin
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Bronze
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Invar
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Nickel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Zinc
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Steel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Cupronickel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Lead
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Platinum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Aluminium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Signalum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Lumium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Enderium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Osmium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Alumina
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (White)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Orange)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Magenta)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Light Blue)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Yellow)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Lime)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Pink)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Gray)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Light Gray)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Cyan)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Purple)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Blue)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Brown)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Green)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Red)
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass (Black)
extracells:pattern.fluid:0, ME Fluid Pattern: Mutagen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid DNA
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Syngas
extracells:pattern.fluid:0, ME Fluid Pattern: Plant Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Ethanol
extracells:pattern.fluid:0, ME Fluid Pattern: Biodiesel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Concrete
extracells:pattern.fluid:0, ME Fluid Pattern: Diesel
extracells:pattern.fluid:0, ME Fluid Pattern: Lubricant
extracells:pattern.fluid:0, ME Fluid Pattern: Gasoline
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Beryllium
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium
extracells:pattern.fluid:0, ME Fluid Pattern: Calciumcarbonate
extracells:pattern.fluid:0, ME Fluid Pattern: Chlorite
extracells:pattern.fluid:0, ME Fluid Pattern: Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Glyceryl
extracells:pattern.fluid:0, ME Fluid Pattern: Helium
extracells:pattern.fluid:0, ME Fluid Pattern: Helium3
extracells:pattern.fluid:0, ME Fluid Pattern: Heliumplasma
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Mercury
extracells:pattern.fluid:0, ME Fluid Pattern: Methane
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrocoalfuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrofuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogendioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Potassium
extracells:pattern.fluid:0, ME Fluid Pattern: Silicon
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Sodiumpersulfate
extracells:pattern.fluid:0, ME Fluid Pattern: Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Wolframium
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon Fiber
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrocarbon
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfur
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium Sulfide
extracells:pattern.fluid:0, ME Fluid Pattern: Diesel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrodiesel
extracells:pattern.fluid:0, ME Fluid Pattern: Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Compressed Air
extracells:pattern.fluid:0, ME Fluid Pattern: Electrolyzed Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Etching Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Plastic
extracells:pattern.fluid:0, ME Fluid Pattern: LPG
extracells:pattern.fluid:0, ME Fluid Pattern: Gasoline
extracells:pattern.fluid:0, ME Fluid Pattern: Kerosene
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:terminal.fluid.wireless, item.extracells.terminal.fluid.wireless.name
extracells:storage.component:0, 256k ME Storage Component
extracells:storage.component:1, 1024k ME Storage Component
extracells:storage.component:2, 4096k ME Storage Component
extracells:storage.component:3, 16384k ME Storage Component
extracells:storage.component:4, 1k ME Fluid Storage Component
extracells:storage.component:5, 4k ME Fluid Storage Component
extracells:storage.component:6, 16k ME Fluid Storage Component
extracells:storage.component:7, 64k ME Fluid Storage Component
extracells:storage.component:8, 256k ME Fluid Storage Component
extracells:storage.component:9, 1024k ME Fluid Storage Component
extracells:storage.component:10, 4096k ME Fluid Storage Component
extracells:storage.casing:0, Advanced Storage Housing
extracells:storage.casing:1, Fluid Storage Housing
extracells:fluid.item, item.extracells.fluid.item.name
extracells:storage.fluid.portable, item.extracells.storage.fluid.portable.name
extracells:storage.gas.portable, item.extracells.storage.gas.portable.name
extracells:pattern.crafting, item.extracells.pattern.crafting.name
extracells:terminal.universal.wireless, item.extracells.terminal.universal.wireless.name
extracells:terminal.gas.wireless, item.extracells.terminal.gas.wireless.name
extracells:oc.upgrade:2, ME Upgrade (Tier 1)
extracells:oc.upgrade:1, ME Upgrade (Tier 2)
extracells:oc.upgrade:0, ME Upgrade (Tier 3)
extracells:gas.item, item.extracells.gas.item.name
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
extracells:ecbaseblock, ME Fluid Interface
extracells:fluidfiller, ME Fluid Auto Filler
extracells:hardmedrive, Blast resistant ME Drive
extracells:vibrantchamberfluid, Fluid Vibration Chamber
ic2:te:1, Industrial TNT
ic2:te:2, Nuke
ic2:te:3, Generator
ic2:te:4, Geothermal Generator
ic2:te:5, Kinetic Generator
ic2:te:6, Radioisotope Thermoelectric Generator
ic2:te:7, Semifluid Generator
ic2:te:8, Solar Panel
ic2:te:9, Stirling Generator
ic2:te:10, Water Mill
ic2:te:11, Wind Mill
ic2:te:12, Electric Heater
ic2:te:13, Liquid Fuel Firebox
ic2:te:14, Radioisotope Heat Generator
ic2:te:15, Solid Fuel Firebox
ic2:te:16, Electric Motor
ic2:te:17, Manual Kinetic Generator
ic2:te:18, Steam Turbine
ic2:te:19, Stirling Kinetic Generator
ic2:te:20, Water Turbine
ic2:te:21, Wind Turbine
ic2:te:22, Nuclear Reactor
ic2:te:23, Reactor Access Hatch
ic2:te:24, Reactor Chamber
ic2:te:25, Reactor Fluid Port
ic2:te:26, Reactor Redstone Port
ic2:te:27, Condenser
ic2:te:28, Bottling Plant
ic2:te:29, Fluid Distributor
ic2:te:30, Fluid Regulator
ic2:te:31, Liquid Heat Exchanger
ic2:te:32, Pump
ic2:te:33, Solar Distiller
ic2:te:34, Steam Boiler
ic2:te:35, Item Buffer
ic2:te:36, Luminator
ic2:te:37, Magnetizer
ic2:te:38, Electric Sorting Machine
ic2:te:39, Teleporter
ic2:te:40, Terraformer
ic2:te:41, Tesla Coil
ic2:te:42, Fluid/Solid Canning Machine
ic2:te:43, Compressor
ic2:te:44, Electric Furnace
ic2:te:45, Extractor
ic2:te:46, Iron Furnace
ic2:te:47, Macerator
